,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
447,2017-02-18,Minnesota,Saint Paul (Maplewood),1700 Rice St,0,5,44.9931,-93.1059,5,"1700 Rice St, Saint Paul (Maplewood), Minnesota",February,2
446,2017-02-19,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3,36.8564,-76.2791,4,"Church Street and East Virginia Beach Blvd, Norfolk, Virginia",February,2
445,2017-02-19,Idaho,Preston,67 W. 200 S.,4,0,42.092,-111.879,4,"67 W. 200 S., Preston, Idaho",February,2
444,2017-02-19,Iowa,Ames,200 block of Welch Avenue,0,5,42.0214,-93.6502,5,"200 block of Welch Avenue, Ames, Iowa",February,2
443,2017-02-19,Wisconsin,Madison,4222 E Washington Ave,0,4,43.1267,-89.3111,4,"4222 E Washington Ave, Madison, Wisconsin",February,2
442,2017-02-20,Ohio,Cleveland,1082 East 105th Street,0,5,41.5275,-81.6156,5,"1082 East 105th Street, Cleveland, Ohio",February,2
441,2017-02-20,California,Whittier,Colima Rd and Mar Vista St,2,2,33.9619,-118.002,4,"Colima Rd and Mar Vista St, Whittier, California",February,2
440,2017-02-21,Mississippi,Toomsuba,Butts Road,4,0,32.434,-88.4973,4,"Butts Road, Toomsuba, Mississippi",February,2
439,2017-02-21,Ohio,Cleveland,16700 Lorain Ave,0,4,41.451,-81.814,4,"16700 Lorain Ave, Cleveland, Ohio",February,2
438,2017-02-22,New York,Rochester,191 Genesee St,0,4,43.1463,-77.6361,4,"191 Genesee St, Rochester, New York",February,2
437,2017-02-23,Kansas,Newton,2111 N. Spencer,4,0,38.024,-97.3183,4,"2111 N. Spencer, Newton, Kansas",February,2
436,2017-02-25,Florida,Jacksonville,3604 Moncrief Rd,1,4,30.3603,-81.6765,5,"3604 Moncrief Rd, Jacksonville, Florida",February,2
435,2017-02-25,Ohio,Warren,1564 Niles Cortland Rd SE,2,3,41.2206,-80.7405,5,"1564 Niles Cortland Rd SE, Warren, Ohio",February,2
434,2017-02-26,Indiana,Gary,1700 block of Grant St,1,4,41.5858,-87.3567,5,"1700 block of Grant St, Gary, Indiana",February,2
433,2017-02-27,Virginia,Newport News,11810 Fountain Way,0,4,37.0849,-76.4701,4,"11810 Fountain Way, Newport News, Virginia",February,2
432,2017-02-28,Ohio,Cincinnati,1700 of Casey Drive,0,6,39.1778,-84.5462,6,"1700 of Casey Drive, Cincinnati, Ohio",February,2
431,2017-03-03,California,Riverside,8300 block of Trey Ave,0,5,33.9406,-117.463,5,"8300 block of Trey Ave, Riverside, California",March,3
430,2017-03-03,Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,40.0604,-75.1899,4,"7165 Germantown Ave, Philadelphia, Pennsylvania",March,3
429,2017-03-04,Texas,Seminole,116 S. Main St,2,2,32.7184,-102.645,4,"116 S. Main St, Seminole, Texas",March,3
428,2017-03-04,Kansas,Topeka,23rd and Bellview,1,4,39.0261,-95.645,5,"23rd and Bellview, Topeka, Kansas",March,3
427,2017-03-04,California,Sacramento,2500 block of 33rd St,0,4,38.5554,-121.47,4,"2500 block of 33rd St, Sacramento, California",March,3
426,2017-03-05,California,El Centro,2131 West Elm Ave,4,0,32.7865,-115.579,4,"2131 West Elm Ave, El Centro, California",March,3
425,2017-03-05,Rhode Island,Central Falls,154 Earle St,0,4,41.8878,-71.3993,4,"154 Earle St, Central Falls, Rhode Island",March,3
424,2017-03-05,Georgia,Columbus,600 block of 32nd Street,0,4,32.4941,-84.9851,4,"600 block of 32nd Street, Columbus, Georgia",March,3
423,2017-03-07,Illinois,Chicago,West 76th Street and South May streets,0,4,41.756,-87.6527,4,"West 76th Street and South May streets, Chicago, Illinois",March,3
422,2017-03-08,Minnesota,Minneapolis,3807 Fremont Avenue North,0,4,45.025,-93.296,4,"3807 Fremont Avenue North, Minneapolis, Minnesota",March,3
421,2017-03-10,Illinois,Saint Charles,450 South First Street,3,1,41.9095,-88.3132,4,"450 South First Street, Saint Charles, Illinois",March,3
420,2017-03-10,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1,30.0008,-90.0619,4,"4200 block of Touro St, New Orleans (Gentilly), Louisiana",March,3
419,2017-03-10,Illinois,Chicago,123 E 51st St,2,2,41.8019,-87.6225,4,"123 E 51st St, Chicago, Illinois",March,3
418,2017-03-13,Maryland,Gwynn Oak,6401 Walnut St,1,3,39.3212,-76.7276,4,"6401 Walnut St, Gwynn Oak, Maryland",March,3
417,2017-03-15,Texas,Austin,2000 block of Whitebead Trail,3,1,30.3755,-97.9288,4,"2000 block of Whitebead Trail, Austin, Texas",March,3
416,2017-03-15,Louisiana,Metairie,2508 Pasadena Ave,3,1,29.997,-90.1763,4,"2508 Pasadena Ave, Metairie, Louisiana",March,3
415,2017-03-18,Michigan,Detroit,16000 block of Rutherford,3,2,42.4086,-83.2044,5,"16000 block of Rutherford, Detroit, Michigan",March,3
414,2017-03-19,Kentucky,Louisville,1512 Portland Avenue,1,5,38.2627,-85.775,6,"1512 Portland Avenue, Louisville, Kentucky",March,3
413,2017-03-21,Texas,Arlington,4600 block of W Bardin Rd,0,7,32.6681,-97.1819,7,"4600 block of W Bardin Rd, Arlington, Texas",March,3
412,2017-03-22,Wisconsin,Rothschild,1133 E Grand Ave,5,0,44.8975,-89.6129,5,"1133 E Grand Ave, Rothschild, Wisconsin",March,3
411,2017-03-22,Louisiana,Crowley,400 block of Josey Dr,4,1,30.2092,-92.3562,5,"400 block of Josey Dr, Crowley, Louisiana",March,3
410,2017-03-23,Maryland,Waldorf,3305 Westdale Ct,3,1,38.6392,-76.9035,4,"3305 Westdale Ct, Waldorf, Maryland",March,3
409,2017-03-24,Missouri,Saint Louis,5100 block of Palm St,1,6,38.6765,-90.2545,7,"5100 block of Palm St, Saint Louis, Missouri",March,3
408,2017-03-24,California,Fresno,300 block of South Villa Avenue,1,4,36.7408,-119.714,5,"300 block of South Villa Avenue, Fresno, California",March,3
407,2017-03-24,Pennsylvania,Middletown,2495 E Harrisburg Pike,0,4,40.1929,-76.6918,4,"2495 E Harrisburg Pike, Middletown, Pennsylvania",March,3
406,2017-03-25,Tennessee,Knoxville,Minnesota Avenue,1,4,35.9846,-83.9578,5,"Minnesota Avenue, Knoxville, Tennessee",March,3
405,2017-03-25,Ohio,Cleveland,E 79th St and Woodland Ave,2,2,41.4882,-81.6334,4,"E 79th St and Woodland Ave, Cleveland, Ohio",March,3
404,2017-03-25,Michigan,Detroit,8443 Grand River Ave,1,3,42.3613,-83.1208,4,"8443 Grand River Ave, Detroit, Michigan",March,3
403,2017-03-25,Pennsylvania,Allentown,233 Hamilton St,1,3,40.6055,-75.4602,4,"233 Hamilton St, Allentown, Pennsylvania",March,3
402,2017-03-26,Texas,Houston,5619 Aldine Bender Rd,2,4,29.9306,-95.3065,6,"5619 Aldine Bender Rd, Houston, Texas",March,3
401,2017-03-26,Ohio,Cleveland,E 75th St,2,2,41.4518,-81.6357,4,"E 75th St, Cleveland, Ohio",March,3
400,2017-03-26,Ohio,Cincinnati,4601 Kellogg Ave,2,15,39.0943,-84.4286,17,"4601 Kellogg Ave, Cincinnati, Ohio",March,3
399,2017-03-27,Florida,Sanford,209 Hays Dr,2,4,28.7912,-81.2819,6,"209 Hays Dr, Sanford, Florida",March,3
398,2017-03-30,Ohio,Canton,529 Smith Ave NW,4,0,40.804,-81.3991,4,"529 Smith Ave NW, Canton, Ohio",March,3
397,2017-03-30,Illinois,Chicago,2704 E 75th St,4,0,41.7601,-87.5583,4,"2704 E 75th St, Chicago, Illinois",March,3
396,2017-04-01,Florida,Tampa,219 S Howard Ave,1,4,27.9431,-82.4831,5,"219 S Howard Ave, Tampa, Florida",April,4
395,2017-04-01,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,35.5204,-97.5754,5,"1200 block of N Woodward Avenue, Oklahoma City, Oklahoma",April,4
394,2017-04-01,California,Pittsburg,100 block of Madoline Street,0,5,38.0053,-121.895,5,"100 block of Madoline Street, Pittsburg, California",April,4
393,2017-04-02,Illinois,Chicago,3500 block of West Van Buren Street,2,4,41.8757,-87.7131,6,"3500 block of West Van Buren Street, Chicago, Illinois",April,4
392,2017-04-02,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,41.6163,-93.6469,5,"2500 Martin Luther King Jr. Parkway, Des Moines, Iowa",April,4
391,2017-04-03,Texas,Lubbock,5401 Ave Q,0,7,33.5453,-101.853,7,"5401 Ave Q, Lubbock, Texas",April,4
390,2017-04-03,Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,39.9717,-75.154,4,"1100 block of W Stiles St, Philadelphia, Pennsylvania",April,4
389,2017-04-06,Louisiana,Lake Charles,2000 block of Tulip St,1,3,30.2112,-93.193,4,"2000 block of Tulip St, Lake Charles, Louisiana",April,4
388,2017-04-07,Texas,Houston,3829 Mount Pleasant St,5,0,29.6858,-95.3668,5,"3829 Mount Pleasant St, Houston, Texas",April,4
387,2017-04-07,North Carolina,Hickory,1423 29th Ave Dr NE,3,1,35.7659,-81.3056,4,"1423 29th Ave Dr NE, Hickory, North Carolina",April,4
386,2017-04-07,Minnesota,Saint Paul,1600 block of English St,4,1,44.9896,-93.0457,5,"1600 block of English St, Saint Paul, Minnesota",April,4
385,2017-04-07,Illinois,Chicago,5600 block of W Lake St,1,5,41.8877,-87.7658,6,"5600 block of W Lake St, Chicago, Illinois",April,4
384,2017-04-09,Texas,San Antonio,3100 block of Fidelia Drive,1,3,29.469,-98.5285,4,"3100 block of Fidelia Drive, San Antonio, Texas",April,4
383,2017-04-09,Indiana,Fort Wayne,9439 Lima Rd,1,3,41.1688,-85.166,4,"9439 Lima Rd, Fort Wayne, Indiana",April,4
382,2017-04-10,California,San Bernardino,5378 N H St,3,1,34.1769,-117.301,4,"5378 N H St, San Bernardino, California",April,4
381,2017-04-13,Georgia,Atlanta,30 Anderson Ave SW,1,3,33.7536,-84.446,4,"30 Anderson Ave SW, Atlanta, Georgia",April,4
380,2017-04-15,Indiana,Indianapolis,300 block of S Meridian St,0,4,39.7623,-86.1583,4,"300 block of S Meridian St, Indianapolis, Indiana",April,4
379,2017-04-15,Illinois,Rock Falls,311 W 2nd St,0,4,41.7805,-89.6948,4,"311 W 2nd St, Rock Falls, Illinois",April,4
378,2017-04-15,California,Banning,900 block of N Allen St,0,4,33.9335,-116.862,4,"900 block of N Allen St, Banning, California",April,4
377,2017-04-15,Alabama,Birmingham,1480 Center Point Pkwy,0,6,33.624,-86.6856,6,"1480 Center Point Pkwy, Birmingham, Alabama",April,4
376,2017-04-15,Illinois,Harvey,14600 block of Myrtle Avenue,0,4,41.6243,-87.6527,4,"14600 block of Myrtle Avenue, Harvey, Illinois",April,4
375,2017-04-15,Pennsylvania,Philadelphia,5900 block of Hammond Street,0,4,40.0394,-75.1168,4,"5900 block of Hammond Street, Philadelphia, Pennsylvania",April,4
374,2017-04-16,California,Vallejo,110 Calhoun Street,0,4,38.1208,-122.267,4,"110 Calhoun Street, Vallejo, California",April,4
373,2017-04-16,North Carolina,Elizabeth City,611 S Martin St,0,4,36.2918,-76.2209,4,"611 S Martin St, Elizabeth City, North Carolina",April,4
372,2017-04-16,Illinois,Rockford,500 block of Score St,0,4,42.2334,-89.091,4,"500 block of Score St, Rockford, Illinois",April,4
371,2017-04-16,Ohio,Columbus,1710 Cleveland Av,0,9,40.0008,-82.9753,9,"1710 Cleveland Av, Columbus, Ohio",April,4
370,2017-04-20,Kentucky,Louisville,700 block of East Jacob Street,0,4,38.243,-85.7419,4,"700 block of East Jacob Street, Louisville, Kentucky",April,4
369,2017-04-20,Washington,Seattle,909 1st Ave,1,3,47.604,-122.336,4,"909 1st Ave, Seattle, Washington",April,4
368,2017-04-21,Florida,Palm Bay,2500 block of Vernon Dr,2,2,28.0583,-80.5947,4,"2500 block of Vernon Dr, Palm Bay, Florida",April,4
367,2017-04-21,Louisiana,New Orleans,Dryades St,1,5,29.9299,-90.0977,6,"Dryades St, New Orleans, Louisiana",April,4
366,2017-04-26,Georgia,Commerce,800 Steven B Tanger Blvd,1,3,34.2507,-83.4722,4,"800 Steven B Tanger Blvd, Commerce, Georgia",April,4
365,2017-04-26,Florida,Miami,SW 264th St and 139th Ave,0,4,25.5218,-80.4167,4,"SW 264th St and 139th Ave, Miami, Florida",April,4
364,2017-04-27,New Jersey,Newark,1100 block of S Orange Ave,1,3,40.7456,-74.2344,4,"1100 block of S Orange Ave, Newark, New Jersey",April,4
363,2017-04-28,Pennsylvania,Chester,5 E 21st St,0,4,39.8635,-75.367,4,"5 E 21st St, Chester, Pennsylvania",April,4
362,2017-04-28,Connecticut,Hartford,Franklin Ave and Barker St,0,4,41.7435,-72.6764,4,"Franklin Ave and Barker St, Hartford, Connecticut",April,4
361,2017-04-29,California,Compton,2000 Block of N Nestor Ave,0,4,33.9029,-118.249,4,"2000 Block of N Nestor Ave, Compton, California",April,4
360,2017-04-29,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3,34.0579,-118.197,4,"Murchison St and Lancaster Ave, Los Angeles (Boyle Heights), California",April,4
359,2017-04-29,Virginia,Virginia Beach,200 block of 18th St,0,4,36.8463,-75.9745,4,"200 block of 18th St, Virginia Beach, Virginia",April,4
358,2017-04-29,Maryland,Germantown,12800 block of Kitchen House Way,1,3,39.1506,-77.2658,4,"12800 block of Kitchen House Way, Germantown, Maryland",April,4
357,2017-04-29,California,Whittier,10000 block of Carmentia Rd,1,5,33.9442,-118.046,6,"10000 block of Carmentia Rd, Whittier, California",April,4
356,2017-04-29,California,Sacramento,3800 block of 26th Avenue,0,5,38.529,-121.466,5,"3800 block of 26th Avenue, Sacramento, California",April,4
355,2017-04-30,Florida,Jacksonville,1200 Ken Knight Dr N,0,5,30.3914,-81.7169,5,"1200 Ken Knight Dr N, Jacksonville, Florida",April,4
354,2017-04-30,South Carolina,Loris,268 N Sea Green Rd,1,5,34.1016,-78.9782,6,"268 N Sea Green Rd, Loris, South Carolina",April,4
353,2017-04-30,Kansas,Topeka,4104 SW 28th,4,1,39.0161,-95.728,5,"4104 SW 28th, Topeka, Kansas",April,4
352,2017-04-30,California,San Diego,9080 Judicial Dr,2,6,32.8716,-117.203,8,"9080 Judicial Dr, San Diego, California",April,4
351,2017-05-01,Texas,Dallas,3200 block of Reynolds Ave,2,3,32.7864,-96.7407,5,"3200 block of Reynolds Ave, Dallas, Texas",May,5
350,2017-05-02,Florida,Jacksonville,1566 West 24th Street,1,3,30.3585,-81.6823,4,"1566 West 24th Street, Jacksonville, Florida",May,5
349,2017-05-04,Michigan,Flint,600 block of Copeman Boulevard,1,3,43.0286,-83.7113,4,"600 block of Copeman Boulevard, Flint, Michigan",May,5
348,2017-05-07,Illinois,Chicago,2600 block of 46th Pl,2,8,41.8102,-87.6356,10,"2600 block of 46th Pl, Chicago, Illinois",May,5
347,2017-05-09,Kansas,Kansas City,1900 block of S. Boeke,3,1,39.0793,-94.6328,4,"1900 block of S. Boeke, Kansas City, Kansas",May,5
346,2017-05-09,Texas,Houston,3700 block of Crandon Street,1,3,29.7984,-95.3337,4,"3700 block of Crandon Street, Houston, Texas",May,5
345,2017-05-10,New Jersey,Trenton,300 block of Centre St,1,3,40.2097,-74.7595,4,"300 block of Centre St, Trenton, New Jersey",May,5
344,2017-05-12,Ohio,Kirkersville,215 E Main St,4,0,39.959,-82.5962,4,"215 E Main St, Kirkersville, Ohio",May,5
343,2017-05-14,Illinois,Dolton,14112 Chicago Road,0,5,41.6385,-87.6076,5,"14112 Chicago Road, Dolton, Illinois",May,5
342,2017-05-14,Arkansas,Jonesboro,311 S Main St,1,6,35.8391,-90.705,7,"311 S Main St, Jonesboro, Arkansas",May,5
341,2017-05-14,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,27.5847,-81.4981,5,"Hal McRae Blvd and Delaney Ave, Avon Park, Florida",May,5
340,2017-05-14,Texas,Fort Worth,8600 block of Calmont Ave,0,4,32.7356,-97.4672,4,"8600 block of Calmont Ave, Fort Worth, Texas",May,5
339,2017-05-16,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1,33.0044,-80.815,4,"21785 Lowcountry Hwy, Ruffin, South Carolina",May,5
338,2017-05-20,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,39.9934,-75.1628,10,"2100 block of W Huntingdon St, Philadelphia, Pennsylvania",May,5
337,2017-05-21,Arizona,Mesa,441 N Val Vista Dr,0,4,33.4242,-111.754,4,"441 N Val Vista Dr, Mesa, Arizona",May,5
336,2017-05-21,Iowa,Des Moines,4300 Beaver Dr,1,3,41.6382,-93.6792,4,"4300 Beaver Dr, Des Moines, Iowa",May,5
335,2017-05-24,California,Crescent City,5905 Lake Earl Dr,0,5,41.8499,-124.158,5,"5905 Lake Earl Dr, Crescent City, California",May,5
334,2017-05-26,Florida,Miami,2730 NW 167th St,0,4,25.926,-80.2458,4,"2730 NW 167th St, Miami, Florida",May,5
333,2017-05-27,District of Columbia,Washington,100 block of Q Street Northwest,1,7,38.9111,-77.0122,8,"100 block of Q Street Northwest, Washington, District of Columbia",May,5
332,2017-05-27,New York,New York (Manhattan),318 W 14th St,0,4,40.7399,-74.0037,4,"318 W 14th St, New York (Manhattan), New York",May,5
331,2017-05-27,Mississippi,Bogue Chitto,2871 Lee Dr,8,1,31.4109,-90.4609,9,"2871 Lee Dr, Bogue Chitto, Mississippi",May,5
330,2017-05-28,Alabama,Phenix City,100 block of 6th Street South,0,12,32.4359,-84.9952,12,"100 block of 6th Street South, Phenix City, Alabama",May,5
329,2017-05-28,Mississippi,Moss Point,6103 Hwy. 63,0,5,30.4348,-88.5388,5,"6103 Hwy. 63, Moss Point, Mississippi",May,5
328,2017-05-28,New Jersey,Paterson,86 Main Street,1,5,40.9143,-74.1667,6,"86 Main Street, Paterson, New Jersey",May,5
327,2017-05-29,Kentucky,Louisville,231 Witherspoon St,1,3,38.2576,-85.7504,4,"231 Witherspoon St, Louisville, Kentucky",May,5
326,2017-05-30,Ohio,Middletown,1200 Elliott Dr,1,3,39.5003,-84.3512,4,"1200 Elliott Dr, Middletown, Ohio",May,5
325,2017-06-01,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1,38.6943,-90.2523,4,"Beacon Ave and Lillian Ave, Saint Louis, Missouri",June,6
324,2017-06-02,Texas,Laredo,5301 McPherson Rd,2,3,27.5454,-99.4821,5,"5301 McPherson Rd, Laredo, Texas",June,6
323,2017-06-02,California,Los Angeles,89th St and Broadway,1,3,33.9555,-118.278,4,"89th St and Broadway, Los Angeles, California",June,6
322,2017-06-03,Louisiana,New Orleans,6100 block of South Laverne,0,4,30.0205,-90.0201,4,"6100 block of South Laverne, New Orleans, Louisiana",June,6
321,2017-06-03,Louisiana,New Orleans,3717 Tulane Ave,3,2,29.9673,-90.1016,5,"3717 Tulane Ave, New Orleans, Louisiana",June,6
320,2017-06-03,Missouri,Saint Louis,1600 Block of Union Blvd,2,2,38.6665,-90.2672,4,"1600 Block of Union Blvd, Saint Louis, Missouri",June,6
319,2017-06-04,Indiana,Salem,5882 S Becks Mill Road,4,0,38.5157,-86.1703,4,"5882 S Becks Mill Road, Salem, Indiana",June,6
318,2017-06-05,Florida,Orlando,2427 Forsyth Rd,6,0,28.5799,-81.2934,6,"2427 Forsyth Rd, Orlando, Florida",June,6
317,2017-06-06,California,Fresno,5267 E Hammond Ave,3,1,36.7582,-119.715,4,"5267 E Hammond Ave, Fresno, California",June,6
316,2017-06-06,Utah,Sandy,2232 Alta Canyon Drive,3,2,40.5941,-111.826,5,"2232 Alta Canyon Drive, Sandy, Utah",June,6
315,2017-06-08,Pennsylvania,Tunkhannock,600 Hunter Hwy,4,0,41.4346,-75.9228,4,"600 Hunter Hwy, Tunkhannock, Pennsylvania",June,6
314,2017-06-08,Louisiana,New Orleans,3650 Franklin Ave,0,6,29.9962,-90.0499,6,"3650 Franklin Ave, New Orleans, Louisiana",June,6
313,2017-06-09,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,32.7209,-97.3157,7,"East Davis Avenue and New York Avenue, Fort Worth, Texas",June,6
312,2017-06-10,Tennessee,Memphis,571 East Street,0,4,35.131,-90.0311,4,"571 East Street, Memphis, Tennessee",June,6
311,2017-06-11,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4,35.0803,-85.2137,4,"4272 Bonny Oaks Drive, Chattanooga, Tennessee",June,6
310,2017-06-11,Texas,Houston,505 Cypress Station Dr,0,4,30.032,-95.4374,4,"505 Cypress Station Dr, Houston, Texas",June,6
309,2017-06-11,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,41.8633,-87.7082,9,"3300 block of W Douglas Blvd, Chicago, Illinois",June,6
308,2017-06-13,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,38.6692,-90.31,4,"Ferguson Ave and Plymouth Ave, Saint Louis (University City), Missouri",June,6
307,2017-06-13,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,39.3154,-76.6,4,"1200 block of Bonaparte Avenue, Baltimore, Maryland",June,6
306,2017-06-13,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,39.3262,-76.6814,4,"3300 block of Ayrdale Avenue, Baltimore, Maryland",June,6
305,2017-06-14,Virginia,Alexandria,420 E Monroe Ave,1,5,38.8207,-77.0558,6,"420 E Monroe Ave, Alexandria, Virginia",June,6
304,2017-06-14,California,San Francisco,720 San Bruno,4,2,37.7596,-122.405,6,"720 San Bruno, San Francisco, California",June,6
303,2017-06-14,Ohio,Canton,14th St. NE and Gibbs Ave. NE,0,4,40.8113,-81.3627,4,"14th St. NE and Gibbs Ave. NE, Canton, Ohio",June,6
302,2017-06-15,New Mexico,La Madera,491 NM 111,5,0,36.384,-106.041,5,"491 NM 111, La Madera, New Mexico",June,6
301,2017-06-15,Virginia,Richmond,4053 Old Brook Road,1,3,37.5903,-77.4465,4,"4053 Old Brook Road, Richmond, Virginia",June,6
300,2017-06-17,New York,Brooklyn,East 102nd street,0,4,40.6412,-73.8914,4,"East 102nd street, Brooklyn, New York",June,6
299,2017-06-17,Illinois,Chicago,1 block of North Latrobe,0,4,41.8804,-87.7563,4,"1 block of North Latrobe, Chicago, Illinois",June,6
298,2017-06-17,Ohio,Columbus,6252 Busch Blvd,1,4,40.1015,-83.0127,5,"6252 Busch Blvd, Columbus, Ohio",June,6
297,2017-06-18,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,38.8524,-76.9657,4,"3100 block of Buena Vista Terrace SE, Washington, District of Columbia",June,6
296,2017-06-18,Missouri,Saint Louis,1900 block of N 14th St,3,2,38.6443,-90.1942,5,"1900 block of N 14th St, Saint Louis, Missouri",June,6
295,2017-06-18,Illinois,Chicago,3300 block of W Crystal St,0,4,41.904,-87.7094,4,"3300 block of W Crystal St, Chicago, Illinois",June,6
294,2017-06-18,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,33.6859,-78.8858,7,"311 N Ocean Blvd, Myrtle Beach, South Carolina",June,6
293,2017-06-21,Alabama,Theodore,112000 Block of Thomas Rd,0,4,30.4604,-88.1407,4,"112000 Block of Thomas Rd, Theodore, Alabama",June,6
292,2017-06-22,Georgia,Atlanta,1100 block of Osborne Street,1,6,33.7044,-84.4239,7,"1100 block of Osborne Street, Atlanta, Georgia",June,6
291,2017-06-24,California,National City,1000 block of East Eighth Street,2,2,32.6787,-117.097,4,"1000 block of East Eighth Street, National City, California",June,6
290,2017-06-24,New Jersey,Willingboro,Pastoral Lane,0,4,40.0326,-74.8963,4,"Pastoral Lane, Willingboro, New Jersey",June,6
289,2017-06-24,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,26.1468,-80.1721,5,"2335 NW 16th Ct, Fort Lauderdale, Florida",June,6
288,2017-06-24,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,40.8037,-73.9578,5,"114th St and Manhattan Ave, New York (Manhattan), New York",June,6
287,2017-06-24,North Carolina,Bethel,5011 NC-11 North,0,4,35.7241,-77.3606,4,"5011 NC-11 North, Bethel, North Carolina",June,6
286,2017-06-25,Missouri,Saint Louis,5000 block of Thekla Ave,1,3,38.6886,-90.242,4,"5000 block of Thekla Ave, Saint Louis, Missouri",June,6
285,2017-06-25,District of Columbia,Washington,5900 block of Southern Ave SE,0,4,38.8885,-76.915,4,"5900 block of Southern Ave SE, Washington, District of Columbia",June,6
284,2017-06-27,Illinois,Chicago,200 block of S Lotus,0,5,41.8783,-87.7618,5,"200 block of S Lotus, Chicago, Illinois",June,6
283,2017-06-28,Florida,Miami,NW 66th and NW 22nd,1,3,25.7931,-80.3036,4,"NW 66th and NW 22nd, Miami, Florida",June,6
282,2017-06-28,Ohio,Akron,850 Sumner Street,1,3,41.1079,-81.6506,4,"850 Sumner Street, Akron, Ohio",June,6
281,2017-06-30,New York,Bronx,1650 Grand Concourse,2,6,40.8435,-73.911,8,"1650 Grand Concourse, Bronx, New York",June,6
280,2017-07-01,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,40.7259,-74.1796,4,"Lincoln Park and Pennsylvania Avenue, Newark, New Jersey",July,7
279,2017-07-01,Illinois,Momence,2727 S 13000 Rd E,0,4,41.0853,-87.62,4,"2727 S 13000 Rd E, Momence, Illinois",July,7
278,2017-07-01,North Carolina,Winston Salem (Winston-salem),2800 block of Patria St,0,4,36.0609,-80.2365,4,"2800 block of Patria St, Winston Salem (Winston-salem), North Carolina",July,7
277,2017-07-01,Arkansas,Little Rock,220 W 6th St,0,25,34.7434,-92.2727,25,"220 W 6th St, Little Rock, Arkansas",July,7
276,2017-07-01,California,Oakland,3200 Humboldt Ave,0,4,37.7921,-122.207,4,"3200 Humboldt Ave, Oakland, California",July,7
275,2017-07-02,South Carolina,Greenwood,SC 72 Bypass,0,4,34.1953,-82.1618,4,"SC 72 Bypass, Greenwood, South Carolina",July,7
274,2017-07-02,New Jersey,Jersey City,Wilkinson Avenue,0,4,40.7063,-74.0804,4,"Wilkinson Avenue, Jersey City, New Jersey",July,7
273,2017-07-03,Michigan,Pontiac,50 block of Thorpe St,1,3,42.6371,-83.3116,4,"50 block of Thorpe St, Pontiac, Michigan",July,7
272,2017-07-03,Alabama,Prattville,112 US 82,3,1,32.4381,-86.4725,4,"112 US 82, Prattville, Alabama",July,7
271,2017-07-04,Virginia,Hampton,500 block of Patterson Ave,1,4,37.0325,-76.3606,5,"500 block of Patterson Ave, Hampton, Virginia",July,7
270,2017-07-04,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4,28.4655,-81.3831,4,"501 W Lancaster Rd, Orlando (Pine Castle), Florida",July,7
269,2017-07-04,Ohio,Greenfield,Ford Ave,2,3,39.3454,-83.3966,5,"Ford Ave, Greenfield, Ohio",July,7
268,2017-07-04,North Carolina,Raleigh,105 E South St,1,3,35.7722,-78.6382,4,"105 E South St, Raleigh, North Carolina",July,7
267,2017-07-05,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4,32.0808,-81.095,4,"Jefferson Street and West St. Julian Street, Savannah, Georgia",July,7
266,2017-07-05,Maine,Madison,300 block of Russell Rd,4,1,44.7906,-69.7873,5,"300 block of Russell Rd, Madison, Maine",July,7
265,2017-07-05,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2,41.6945,-87.611,4,"11000 block of S Eberhart, Chicago (Roseland), Illinois",July,7
264,2017-07-06,Mississippi,Meridian,Eighth Ave,0,4,32.3817,-88.6865,4,"Eighth Ave, Meridian, Mississippi",July,7
263,2017-07-07,Pennsylvania,New Hope,6000 block of Lower York Rd,4,0,40.3496,-75.0176,4,"6000 block of Lower York Rd, New Hope, Pennsylvania",July,7
