,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
850,2016-04-25,Tennessee,Nashville,400 Charlotte Avenue,0,4,36.1664,-86.7807,4,"400 Charlotte Avenue, Nashville, Tennessee",April,4
849,2016-04-25,Tennessee,Goodlettsville,500 block of Cunniff Pkwy,0,4,36.2839,-86.735,4,"500 block of Cunniff Pkwy, Goodlettsville, Tennessee",April,4
848,2016-04-25,Florida,Miami,1506 Northwest 70th Street,0,5,25.8383,-80.2242,5,"1506 Northwest 70th Street, Miami, Florida",April,4
847,2016-04-25,Nevada,Las Vegas,4700 block of Sphinx Way,1,3,36.2249,-115.07,4,"4700 block of Sphinx Way, Las Vegas, Nevada",April,4
846,2016-04-26,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,38.8432,-76.8954,5,"6500 block of Hil-Mar Drive, District Heights (Forestville), Maryland",April,4
845,2016-04-27,Louisiana,Baton Rouge,4300 Block of Kerrit Dr,2,2,30.4903,-91.0872,4,"4300 Block of Kerrit Dr, Baton Rouge, Louisiana",April,4
844,2016-04-27,Mississippi,Kilmichael,Pecan Drive,3,1,33.435,-89.5726,4,"Pecan Drive, Kilmichael, Mississippi",April,4
843,2016-04-29,California,Oakland,3200 block of San Pablo Avenue,0,5,37.8226,-122.277,5,"3200 block of San Pablo Avenue, Oakland, California",April,4
842,2016-04-29,Missouri,Saint Louis (Ferguson),400 block of N Dade Ave,0,4,38.7521,-90.315,4,"400 block of N Dade Ave, Saint Louis (Ferguson), Missouri",April,4
841,2016-05-01,Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,35.8314,-86.349,5,"1955 Old Castle Drive, Murfreesboro, Tennessee",May,5
840,2016-05-03,Florida,Green Cove Springs,3670 Clubhouse Drive,4,0,29.9988,-81.709,4,"3670 Clubhouse Drive, Green Cove Springs, Florida",May,5
839,2016-05-04,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,44.9952,-93.3057,8,"16th Avenue North and Newton Avenue North, Minneapolis, Minnesota",May,5
838,2016-05-05,Florida,Miami,2108 NW 19th Terrace,1,3,25.7937,-80.2306,4,"2108 NW 19th Terrace, Miami, Florida",May,5
837,2016-05-05,Nevada,North Las Vegas,3901 North Martin Luther King Boulevard,2,2,36.2302,-115.162,4,"3901 North Martin Luther King Boulevard, North Las Vegas, Nevada",May,5
836,2016-05-05,Louisiana,Shreveport,300 block of North Thomas Drive,2,6,32.5389,-93.7635,8,"300 block of North Thomas Drive, Shreveport, Louisiana",May,5
835,2016-05-06,Michigan,Detroit,12300 block of Gratiot,1,4,42.416,-82.9897,5,"12300 block of Gratiot, Detroit, Michigan",May,5
834,2016-05-06,Alabama,Montgomery,1300 block of Clay Street,1,3,32.3757,-86.3333,4,"1300 block of Clay Street, Montgomery, Alabama",May,5
833,2016-05-06,Maryland,Bethesda,7101 Democracy Blvd,3,3,39.0224,-77.1485,6,"7101 Democracy Blvd, Bethesda, Maryland",May,5
832,2016-05-08,Texas,Austin,8600 block of North Lamar,1,3,30.3546,-97.7047,4,"8600 block of North Lamar, Austin, Texas",May,5
831,2016-05-11,Illinois,Chicago (Englewood),1500 block of West 71st Street,4,0,41.7652,-87.6616,4,"1500 block of West 71st Street, Chicago (Englewood), Illinois",May,5
830,2016-05-11,Alabama,Birmingham,1400 block of 21st Street N,1,4,33.5313,-86.8143,5,"1400 block of 21st Street N, Birmingham, Alabama",May,5
829,2016-05-11,Illinois,Chicago,7100 block of South State Street,0,5,41.7639,-87.6249,5,"7100 block of South State Street, Chicago, Illinois",May,5
828,2016-05-14,Georgia,Atlanta,Cordova and Peoples Street,0,5,33.749,-84.388,5,"Cordova and Peoples Street, Atlanta, Georgia",May,5
827,2016-05-14,West Virginia,Charleston,2337 Washington St W,1,3,38.3767,-81.6749,4,"2337 Washington St W, Charleston, West Virginia",May,5
826,2016-05-15,Georgia,Moultrie,Rossman Dairy Road,5,0,31.2124,-83.8518,5,"Rossman Dairy Road, Moultrie, Georgia",May,5
825,2016-05-15,Indiana,Evansville,420 North Garvin Street,0,4,37.9812,-87.5567,4,"420 North Garvin Street, Evansville, Indiana",May,5
824,2016-05-17,South Carolina,Ravenel,5360 Savannah Highway,3,1,32.7849,-80.2037,4,"5360 Savannah Highway, Ravenel, South Carolina",May,5
823,2016-05-18,Indiana,Indianapolis,34th Street and North Keystone Avenue,0,4,39.8181,-86.1217,4,"34th Street and North Keystone Avenue, Indianapolis, Indiana",May,5
822,2016-05-19,Maryland,Baltimore,Carroll and Archer Streets,0,4,39.2821,-76.6301,4,"Carroll and Archer Streets, Baltimore, Maryland",May,5
821,2016-05-21,Georgia,Jackson,Levi Barnes Road,1,3,33.2598,-84.0274,4,"Levi Barnes Road, Jackson, Georgia",May,5
820,2016-05-22,California,Stockton,Poplar and Sutter Streets,1,3,37.9623,-121.288,4,"Poplar and Sutter Streets, Stockton, California",May,5
819,2016-05-22,Tennessee,Nashville,100 block of Rains Avenue,0,4,36.1401,-86.7638,4,"100 block of Rains Avenue, Nashville, Tennessee",May,5
818,2016-05-22,Louisiana,New Orleans,8639 Apple St,0,4,29.9613,-90.1235,4,"8639 Apple St, New Orleans, Louisiana",May,5
817,2016-05-23,New Jersey,Newark,102 Isabella Avenue,0,5,40.7404,-74.2215,5,"102 Isabella Avenue, Newark, New Jersey",May,5
816,2016-05-25,New York,New York (Manhattan),17 Irving Plaza,1,3,40.735,-73.9884,4,"17 Irving Plaza, New York (Manhattan), New York",May,5
815,2016-05-27,Massachusetts,Framingham,90 Hartford Street,0,4,42.2924,-71.4102,4,"90 Hartford Street, Framingham, Massachusetts",May,5
814,2016-05-29,Washington,Zillah,2500 block of Lucy Lane,0,5,46.4299,-120.23,5,"2500 block of Lucy Lane, Zillah, Washington",May,5
813,2016-05-29,Nevada,Las Vegas,200 block of N 3rd St,0,4,36.172,-115.141,4,"200 block of N 3rd St, Las Vegas, Nevada",May,5
812,2016-05-29,Texas,Houston,13210 Memorial Drive,2,6,29.7727,-95.5745,8,"13210 Memorial Drive, Houston, Texas",May,5
811,2016-05-29,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,40.2294,-74.7632,6,"600 block of Martin Luther King Jr. Boulevard, Trenton, New Jersey",May,5
810,2016-05-29,Indiana,Indianapolis,300 block of South Meridian Street,0,4,39.7623,-86.1583,4,"300 block of South Meridian Street, Indianapolis, Indiana",May,5
809,2016-05-30,California,Sacramento,3900 block of 44th,0,5,38.5131,-121.463,5,"3900 block of 44th, Sacramento, California",May,5
